Year,Matchday,Team_1,Team_2,Day,Stadium,Time,Referee,A_Referee_1,A_Referee_2,4_official,VAR_official,AVAR_official,Gls_T1,Gls_T2,FR,Coach_T1,Coach_T2,Fmt_T1,Fmt_T2,Ptt,Ptr,Ptp,Ptt_T1,Pt_DH_T1,Pt_OH_T1,Ptt_T2,Pt_DH_T2,Pt_OH_T2,Pt_0_15_T1,Pt_16_30_T1,Pt_31_HT_T1,Pt_45_60_T1,Pt_61_75_T1,Pt_76_FT_T1,Pt_0_15_T2,Pt_16_30_T2,Pt_31_HT_T2,Pt_45_60_T2,Pt_61_75_T2,Pt_76_FT_T2,Atp_T1,Atp_T2,Atp_on_T1,Atp_on_T2,Atp_on_fk_T1,Atp_on_fk_T2,Atp_on_pb_T1,Atp_on_pb_T2,Atp_off_T1,Atp_off_T2,Svs_T1,Svs_T2,Scr_chc_T1,Scr_chc_T2,Ast_T1,Ast_T2,Off_T1,Off_T2,Crn_T1,Crn_T2,FlsC_T1,FlsC_T2,PssC_T1,PssC_T2,PssC_%_T1,PssC_%_T2,LngP_T1,LngP_T2,MdmP_T1,MdmP_T2,ShrP_T1,ShrP_T2,KPss_T1,KPss_T2,Rcv_T1,Rcv_T2,CntA_T1,CntA_T2,Pnt_T1,Pnt_T2,Dst_c_T1,Dst_j_T1,Dst_r_T1,Dst_s_T1,Dst_c_T2,Dst_j_T2,Dst_r_T2,Dst_s_T2,Avg_Spd_T1,Avg_Spd_T2,Atk_l_T1,Atk_c_T1,Atk_r_T1,Atk_l_T2,Atk_c_T2,Atk_r_T2,Crs_Cmp_NrCrn_l_T1,Crs_Cmp_NrCrn_r_T1,Crs_Cmp_FnlThr_l_T1,Crs_Cmp_FnlThr_r_T1,Crs_Cmp_BfrFnlThr_l_T1,Crs_Cmp_BfrFnlThr_r_T1,Crs_Cmp_NrCrn_l_T2,Crs_Cmp_NrCrn_r_T2,Crs_Cmp_FnlThr_l_T2,Crs_Cmp_FnlThr_r_T2,Crs_Cmp_BfrFnlThr_l_T2,Crs_Cmp_BfrFnlThr_r_T2,K_Ply_T1,K_Ply_Nbr_T1,K_Ply_T2,K_Ply_Nbr_T2,Odd_T1,Odd_D,Odd_T2
2019-2020,2,BOLOGNA,SPAL,30/08/2019,STADIUM RENATO DALL'ARA,20:45:00,MARCO  DI BELLO,DAMIANO  DI IORIO,LORENZO  GORI,ANTONIO  RAPUANO,MICHAEL  FABBRI,ALESSANDRO GIALLATINI,1,0,H,SINISA MIHAJLOVIC,LEONARDO SEMPLICI,4-3-3,3-5-2,98'30,43'44,0.44,25'54 (59%),13'36 (53%),12'18 (47%),17'50 (41%),7'27 (42%),10'23 (58%),3'38,1'40,6'49,3'15,5'00,5'32,2'42,3'10,3'38,2'34,1'10,4'36,17,7,11(1),1(0),0,0,8,1,6,6,1,7,13,4,1,0,2,0,11,2,13,13,393,255,0.83,0.72,21,21,130,76,242,158,10,3,128,110,20,18,0 (0),0 (0),109.088,31.041,69.569,8.478,109.747,31.35,70.474,7.923,6.5,6.5,26 (43%),14 (23%),21 (34%),23 (56%),8 (20%),10 (24%),4/4,0/0,1/2,2/4,0/0,1/1,2/3,0/0,3/3,1/1,0/1,1/1,ROBERTO SORIANO,21,SIMONE MISSIROLI,7,1.8,3.5,4.6
2019-2020,2,MILAN,BRESCIA,31/08/2019,STADIUM GIUSEPPE MEAZZA,18:00:00,ROSARIO  ABISSO,MATTEO  BOTTEGONI,TARCISIO  VILLA,IVANO  PEZZUTO,GIANLUCA  MANGANIELLO,GIORGIO PERETTI,1,0,H,MARCO GIAMPAOLO,EUGENIO CORINI,4-3-2-1,4-3-1-2,95'07,50'11,0.53,31'41 (63%),18'10 (57%),13'31 (43%),18'30 (37%),11'55 (64%),6'35 (36%),6'13,6'37,3'28,5'18,4'50,5'15,2'12,2'45,3'36,3'27,3'17,3'13,11,4,6(1),2(0),0,0,3,1,5,2,1,4,8,4,1,0,0,6,5,3,14,18,495,256,0.86,0.73,38,13,162,101,295,142,5,1,138,86,26,19,0 (0),0 (0),101.95,28.41,65.723,7.817,108.618,27.183,72.501,8.934,6.3,6.6,20 (37%),7 (13%),27 (50%),15 (47%),3 (9%),14 (44%),0/0,1/1,1/3,3/7,0/0,0/1,0/0,1/1,1/1,1/3,0/0,0/0,HAKAN CALHANOGLU,10,JESSE JORONEN,1,1.44,4.33,8.0
2019-2020,2,JUVENTUS,NAPOLI,31/08/2019,STADIUM ALLIANZ STADIUM,20:45:00,DANIELE  ORSATO,LORENZO  MANGANELLI,ALESSANDRO  COSTANZO,FABRIZIO  PASQUA,MASSIMILIANO  IRRATI,GIORGIO SCHENONE,4,3,H,MAURIZIO SARRI,CARLO ANCELOTTI,4-3-3,4-2-3-1,96'29,46'51,0.49,20'58 (45%),11'02 (53%),9'56 (47%),25'53 (55%),12'27 (48%),13'26 (52%),4'55,2'36,4'52,3'11,2'24,3'00,3'29,3'09,4'58,4'41,5'36,4'00,10,12,8(3),7(3),0,0,4,5,2,5,4,4,10,7,3,3,0,1,2,5,13,13,393,497,0.87,0.88,19,20,134,148,240,329,4,5,69,73,15,10,0 (0),0 (0),107.121,28.727,70.507,7.887,99.561,30.952,60.713,7.896,6.4,6.0,25 (61%),3 (7%),13 (32%),21 (48%),8 (18%),15 (34%),2/2,1/2,2/2,1/6,0/0,0/0,0/0,1/2,3/6,2/4,0/0,0/0,GONZALO HIGUAIN,21,HIRVING LOZANO,11,1.95,3.4,4.2
2019-2020,2,LAZIO,ROMA,01/09/2019,STADIUM OLIMPICO,18:00:00,MARCO  GUIDA,CIRO  CARBONE,DANIELE  BINDONI,GIANLUCA ROCCHI,PAOLO SILVIO  MAZZOLENI,MAURO VIVENZI,1,1,D,SIMONE INZAGHI,PAULO FONSECA,3-5-2,4-2-3-1,95'56,47'34,0.5,22'03 (46%),9'11 (42%),12'52 (58%),25'31 (54%),15'40 (61%),9'51 (39%),3'30,3'46,4'28,4'18,3'14,2'47,4'12,2'53,4'28,3'18,4'33,6'07,21,8,13(1),5(1),0,2,9,2,8,3,1,6,14,5,1,0,2,0,8,4,15,13,331,315,0.83,0.8,23,32,120,124,187,158,9,1,70,93,27,15,0 (0),1 (1),103.765,28.32,66.708,8.737,107.798,31.116,68.414,8.268,6.5,6.6,35 (57%),7 (12%),19 (31%),9 (26%),10 (28%),16 (46%),1/2,0/0,5/7,3/5,0/0,0/0,0/1,0/1,0/1,0/3,0/0,0/0,CIRO IMMOBILE,17,ALEKSANDAR KOLAROV,11,2.15,3.6,3.3
2019-2020,2,ATALANTA,TORINO,01/09/2019,STADIUM ENNIO TARDINI,20:45:00,DANIELE  DOVERI,MAURO  GALETTO,VALENTINO  FIORITO,FEDERICO  DIONISI,GIANPAOLO  CALVARESE,SERGIO RANGHETTI,2,3,A,GIAN PIERO GASPERINI,WALTER MAZZARRI,3-4-1-2,3-5-2,94'00,41'30,0.44,24'08 (58%),9'30 (39%),14'38 (61%),17'22 (42%),8'59 (52%),8'23 (48%),4'26,2'39,4'17,5'57,3'36,3'13,3'09,2'34,2'26,3'53,2'57,2'23,19,8,12(2),6(3),0,1,8,5,7,2,3,7,16,5,1,3,1,3,12,5,13,15,319,219,0.79,0.73,33,27,120,65,166,124,9,2,96,101,29,17,0 (0),0 (0),103.761,29.547,65.58,8.634,102.909,29.95,62.59,10.369,6.4,6.5,21 (34%),12 (19%),29 (47%),17 (40%),8 (18%),18 (42%),2/2,2/2,3/6,1/2,0/0,0/0,1/1,2/2,3/5,5/5,0/0,0/0,DUVAN ZAPATA,91,ALEJANDRO BERENGUER,21,1.57,4.0,5.75
2019-2020,2,CAGLIARI,INTER,01/09/2019,STADIUM SARDEGNA ARENA,20:45:00,FABIO  MARESCA,STEFANO  DEL GIOVANE,ALESSANDRO  LO CICERO,LIVIO  MARINELLI,MICHAEL  FABBRI,FABIANO PRETI,1,2,A,ROLANDO MARAN,ANTONIO CONTE,3-5-2,3-5-2,98'02,57'27,0.59,26'16 (46%),15'26 (59%),10'50 (41%),31'11 (54%),20'22 (65%),10'49 (35%),5'12,3'04,6'40,5'26,1'49,4'04,5'52,4'40,5'27,4'15,3'58,6'59,7,9,3(1),8(2),0,2,1,6,4,1,4,2,2,9,1,1,1,1,5,5,12,11,308,465,0.83,0.87,29,28,120,179,159,258,4,5,69,95,19,18,0 (0),1 (1),108.78,27.003,73.125,8.652,109.27,24.449,76.821,8.0,6.7,6.8,13 (30%),16 (37%),14 (33%),21 (54%),7 (18%),11 (28%),0/0,1/1,2/3,0/3,0/0,0/0,0/1,1/2,3/4,0/1,0/0,0/0,JOAO PEDRO,10,ROMELU LUKAKU,9,5.5,3.75,1.66
2019-2020,2,GENOA,FIORENTINA,01/09/2019,STADIUM LUIGI FERRARIS,20:45:00,PIERO  GIACOMELLI,ALESSIO  TOLFO,LUCA  MONDIN,EUGENIO  ABBATTISTA,LUCA  BANTI,STEFANO LIBERTI,2,1,H,AURELIO ANDREAZZOLI,VINCENZO MONTELLA,3-5-2,4-3-3,96'33,50'03,0.52,26'14 (52%),14'47 (56%),11'27 (44%),23'49 (48%),9'59 (42%),13'50 (58%),4'55,5'29,3'41,4'20,2'57,4'52,4'14,3'21,3'16,3'04,3'35,6'19,18,16,10(2),7(1),0,1,9,4,8,9,4,6,16,11,1,0,1,1,9,8,17,15,284,322,0.73,0.81,27,17,107,109,150,196,4,4,126,53,9,27,0 (0),1 (1),100.32,30.623,62.389,7.308,102.491,30.15,65.028,7.313,6.1,6.2,16 (46%),6 (17%),13 (37%),28 (43%),18 (28%),19 (29%),0/0,0/0,3/6,5/7,0/0,0/0,1/2,0/1,0/2,3/9,0/0,0/0,CHRISTIAN KOUAME,11,ERICK PULGAR,78,2.62,3.3,2.75
2019-2020,2,LECCE,HELLAS VERONA,01/09/2019,STADIUM ETTORE GIARDINIERO - VIA DEL MARE,20:45:00,JUAN LUCA  SACCHI,RODOLFO  DI VUOLO,VALERIO  COLAROSSI,ALESSANDRO  PRONTERA,ANTONIO  GIUA,PASQUALE DE MEO,0,1,A,FABIO LIVERANI,IVAN JURIC,4-3-1-2,3-4-2-1,97'44,52'54,0.54,24'25 (46%),11'22 (47%),13'03 (53%),28'29 (54%),15'48 (55%),12'41 (45%),1'53,3'19,4'55,4'40,4'44,4'54,5'49,4'52,4'33,3'04,4'01,6'10,9,11,3(0),6(1),0,0,1,6,6,5,3,3,5,5,0,1,1,1,2,7,14,14,368,367,0.79,0.8,51,31,140,129,177,207,3,4,2,83,21,13,0 (0),0 (0),109.887,30.193,72.664,7.03,110.937,30.523,72.26,8.154,6.6,6.7,21 (40%),6 (12%),25 (48%),16 (36%),10 (23%),18 (41%),3/3,2/3,1/2,2/2,2/4,0/0,1/2,2/2,0/0,2/2,0/0,1/1,GIANLUCA LAPADULA,9,MATTEO PESSINA,32,1.95,3.5,3.8
2019-2020,2,SASSUOLO,SAMPDORIA,01/09/2019,STADIUM MAPEI STADIUM,20:45:00,LUCA  PAIRETTO,ENRICO  CALIARI,VITO  MASTRODONATO,LORENZO  MAGGIONI,DANIELE  CHIFFI,DARIO CECCONI,4,1,H,ROBERTO DE ZERBI,EUSEBIO DI FRANCESCO,4-3-1-2,4-3-3,92'05,47'18,0.51,31'07 (66%),15'32 (50%),15'35 (50%),16'11 (34%),8'33 (53%),7'38 (47%),2'53,4'13,5'16,5'34,5'59,7'11,3'18,3'50,2'21,2'07,2'35,2'00,11,8,8(4),5(1),0,1,7,2,3,3,4,4,9,5,3,0,3,4,4,5,9,10,629,244,0.89,0.73,23,27,236,106,370,111,2,3,40,6,17,20,0 (0),1 (1),97.663,28.651,62.723,6.289,96.134,25.467,63.776,6.891,6.2,6.3,31 (60%),11 (21%),10 (19%),18 (53%),4 (12%),12 (35%),1/2,2/3,1/2,1/2,0/0,0/0,1/1,2/3,2/2,1/1,0/0,0/0,DOMENICO BERARDI,25,FABIO QUAGLIARELLA,27,2.25,3.4,3.2
2019-2020,2,UDINESE,PARMA,01/09/2019,STADIUM DACIA ARENA - STADIO FRIULI,20:45:00,MARCO  PICCININI,SALVATORE  LONGO,VALERIO  VECCHI,RICCARDO  ROS,LUIGI  NASCA,FILIPPO VALERIANI,1,3,A,IGOR TUDOR,ROBERTO D'AVERSA,3-5-2,4-3-3,97'12,56'35,0.58,30'19 (54%),16'46 (55%),13'33 (45%),26'16 (46%),16'56 (64%),9'20 (36%),4'46,4'03,4'04,5'36,6'23,5'26,5'08,5'25,4'27,3'53,3'19,4'04,17,6,12(1),3(3),0,0,9,3,5,3,0,10,11,3,1,3,0,1,8,1,11,11,415,368,0.86,0.81,44,37,153,145,218,186,4,0,65,101,17,18,0 (0),0 (0),110.843,27.978,74.354,8.511,113.98,29.138,75.73,9.112,6.7,6.8,26 (45%),7 (12%),25 (43%),14 (32%),8 (18%),22 (50%),2/2,3/3,5/6,6/6,0/1,1/3,0/0,1/1,0/1,0/2,0/0,0/1,KEVIN LASAGNA,15,GERVINHO,27,2.05,3.4,3.75
2019-2020,3,FIORENTINA,JUVENTUS,14/09/2019,STADIUM ARTEMIO FRANCHI,15:00:00,MASSIMILIANO  IRRATI,FABIANO  PRETI,MATTEO  PASSERI,MARCO  DI BELLO,PAOLO SILVIO  MAZZOLENI,ALESSANDRO LO CICERO,0,0,D,VINCENZO MONTELLA,MAURIZIO SARRI,3-5-2,4-3-3,96'58,54'52,0.57,25'36 (47%),15'22 (60%),10'14 (40%),29'16 (53%),19'43 (67%),9'33 (33%),3'47,3'15,5'34,3'37,4'05,5'18,3'41,5'53,6'41,5'34,3'09,4'17,15,5,8(0),4(0),0,0,6,1,7,1,4,8,8,2,0,0,3,1,10,0,12,18,327,360,0.8,0.84,37,28,110,128,177,197,5,0,41,32,21,15,0 (0),0 (0),104.5,29.014,67.191,8.295,104.361,27.797,68.259,8.305,6.4,6.5,23 (48%),4 (8%),21 (44%),16 (41%),5 (13%),18 (46%),0/0,0/0,3/4,2/3,0/0,0/0,1/1,0/0,2/3,0/0,1/2,0/0,FEDERICO CHIESA,25,ALEX SANDRO,12,4.75,3.8,1.72
